!Bonds
   HR  NH1   0.98000   0.94500   1.01500
   HR  NH3   1.04000   1.00500   1.07500
 CH1E   HR   1.08000   1.04000   1.12000
 CH2E   HR   1.08000   1.04000   1.12000
 CH2G   HR   1.08000   1.04000   1.12000
 CH2P   HR   1.08000   1.04000   1.12000
 CH3E   HR   1.08000   1.04000   1.12000
 CR1E   HR   1.08000   1.04000   1.12000
 CR1H   HR   1.08100   1.04100   1.12100
 CR1W   HR   1.08000   1.04000   1.12000
  CRH   HR   1.08000   1.04000   1.12000
 CRHH   HR   1.08000   1.04000   1.12000
   CA   HR   1.08000   1.04000   1.12000
 CH1E   HA   1.08000   1.04000   1.12000
 CH1E   HR   1.08000   1.04000   1.12000
 CR1E   HA   1.08000   1.04000   1.12000
 CR1E   HR   1.08000   1.04000   1.12000
    C   CAP   1.52500   1.50400   1.54600
   CAP  NH2   1.32800   1.30700   1.34900
   CAP   CAP   1.54000   1.51300   1.56700
   CAP CH1E   1.54000   1.51300   1.56700
   CAP CH2E   1.53000   1.51000   1.55000
   CAP CH3E   1.52100   1.48800   1.55400
   CAP    N   1.46600   1.45100   1.48100
   CAP  NH1   1.45800   1.43900   1.47700
   CAP  NH3   1.49100   1.47000   1.51200
   CAP  OH1   1.43300   1.41700   1.44900
   CAP   H0   1.08000   1.04000   1.12000
   CAP   HA   1.08000   1.04000   1.12000
   CAP   HR   1.08000   1.04000   1.12000
!Angles
  C5W   CW   CW   2.28755   2.25146   2.32265 107.20000   1.20000
   CW  C5W CH2E   2.62093   2.58767   2.65264 126.80000   1.40000
  C5W   CW CR1E   2.60502   2.58497   2.62428 133.89999   1.00000
   CW   CW CR1E   2.41611   2.39052   2.44097 118.80000   1.00000
   CW   CW CR1W   2.45630   2.43203   2.47983 122.40000   1.00000
   CW  C5W CR1E   2.23935   2.19133   2.28565 106.30000   1.60000
   CW   CW  NH1   2.23979   2.20168   2.27676 107.40000   1.30000
 CH1E    C    N   2.44426   2.40405   2.48281 116.90000   1.50000
 CH1E    C  NH1   2.42518   2.37108   2.47636 116.20000   2.00000
 CH1E    C    O   2.40072   2.35949   2.43990 120.80000   1.70000
 CH1E    C   OC   2.36962   2.30459   2.43023 117.00000   2.50000
 CH2E   C5 CR1E   2.57686   2.54824   2.60417 129.10001   1.30000
 CH2E   C5 CR1H   2.59703   2.56949   2.62324 131.20000   1.30000
 CH2E   CF CR1E   2.50880   2.46505   2.55036 120.70000   1.70000
 CH2E  C5W CR1E   2.56177   2.52698   2.59482 126.90000   1.50000
 CH2E   CY CR1E   2.52314   2.48448   2.56009 120.80000   1.50000
 CH2E    C    N   2.45314   2.39763   2.50539 118.20000   2.10000
 CH2G    C    N   2.45314   2.39776   2.50525 118.20000   2.10000
 CH2E   C5  NH1   2.52364   2.48655   2.55902 122.70000   1.50000
 CH2E    C  NH1   2.42125   2.36474   2.47456 116.50000   2.10000
 CH2G    C  NH1   2.41995   2.36349   2.47320 116.40000   2.10000
 CH2E    C  NH2   2.41912   2.37889   2.45773 116.40000   1.50000
 CH2E   C5   NR   2.50430   2.46663   2.54026 121.60000   1.50000
 CH2E    C    O   2.39265   2.34407   2.43838 120.80000   2.00000
 CH2G    C    O   2.39265   2.34172   2.44043 120.80000   2.10000
 CH2E    C   OC   2.37896   2.32051   2.43365 118.40000   2.30000
 CH2G    C   OC   2.37896   2.32064   2.43352 118.40000   2.30000
 CR1E  CY2 CR1E   2.39037   2.34063   2.43721 120.30000   2.00000
 CR1E   CY CR1E   2.38246   2.34389   2.41941 118.10000   1.50000
 CR1E   CF CR1E   2.38007   2.34191   2.41662 118.60000   1.50000
 CR1W   CW  NH1   2.50607   2.47441   2.53603 130.10001   1.50000
 CR1E   C5  NH1   2.17197   2.14249   2.20080 105.20000   1.00000
 CR1H   C5  NH1   2.18335   2.15419   2.21186 106.10000   1.00000
 CR1E   C5   NR   2.22287   2.20318   2.24223 109.20000   0.70000
 CR1E  CY2  OH1   2.38383   2.30801   2.45314 119.90000   3.00000
    N    C    O   2.25015   2.21877   2.28020 122.00000   1.40000
  NC2    C  NC2   2.29322   2.24994   2.33424 119.70000   1.80000
  NC2    C  NH1   2.29930   2.25375   2.34233 120.00000   1.90000
  NH1    C    O   2.25026   2.21504   2.28373 123.00000   1.60000
  NH2    C    O   2.24510   2.22299   2.26653 122.60000   1.00000
   OC    C   OC   2.19424   2.14200   2.24265 122.90000   2.40000
    O    C    O   2.16262   2.11111   2.21036 122.90000   2.40000
    C CH1E CH1E   2.49683   2.42637   2.56363 109.10000   2.20000
    C CH1E CH2E   2.50404   2.44431   2.56103 110.10000   1.90000
    C CH1E CH3E   2.50274   2.45600   2.54778 110.50000   1.50000
    C CH1E    N   2.47695   2.40120   2.54801 111.80000   2.50000
    C CH1E  NH1   2.46160   2.37608   2.54128 111.20000   2.80000
    C CH1E  NH3   2.48862   2.40209   2.56923 111.20000   2.80000
 CH1E CH1E CH2E   2.52093   2.46747   2.57220 110.40000   1.70000
 CH1E CH1E CH3E   2.51508   2.46174   2.56624 110.50000   1.70000
 CH1E CH1E  NH1   2.47855   2.42707   2.52785 111.50000   1.70000
 CH1E CH1E  NH3   2.50555   2.45346   2.55544 111.50000   1.70000
 CH1E CH1E  OH1   2.43015   2.38419   2.47447 109.60000   1.50000
 CH2E CH1E CH3E   2.50988   2.41524   2.59768 110.70000   3.00000
 CH2E CH1E    N   2.34503   2.30855   2.38066 103.00000   1.10000
 CH2E CH1E  NH1   2.45542   2.40354   2.50516 110.50000   1.70000
 CH2E CH1E  NH3   2.48230   2.42980   2.53262 110.50000   1.70000
 CH3E CH1E CH3E   2.50398   2.43530   2.56900 110.80000   2.20000
 CH3E CH1E  NH1   2.44647   2.40073   2.49055 110.40000   1.50000
 CH3E CH1E  NH3   2.47486   2.42241   2.52515 110.50000   1.70000
 CH3E CH1E  OH1   2.40992   2.34848   2.46844 109.30000   2.00000
    C CH2E CH1E   2.53414   2.50389   2.56363 112.60000   1.00000
   C5 CH2E CH1E   2.53584   2.50633   2.56459 113.80000   1.00000
   CF CH2E CH1E   2.54001   2.51037   2.56888 113.80000   1.00000
  C5W CH2E CH1E   2.53378   2.47701   2.58779 113.60000   1.90000
   CY CH2E CH1E   2.54981   2.49610   2.60102 113.90000   1.80000
    C CH2E CH2E   2.52581   2.47428   2.57514 112.60000   1.70000
    C CH2G  NH1   2.46723   2.38052   2.54765 112.50000   2.90000
    C CH2G  NH3   2.49861   2.41064   2.58021 112.50000   2.90000
 CH1E CH2E CH1E   2.59926   2.49551   2.69335 116.30000   3.50000
 CH1E CH2E CH2P   2.38958   2.32640   2.45016 104.50000   1.90000
 CH1E CH2E CH2E   2.55940   2.49954   2.61616 114.10000   2.00000
 CH1E CH2E CH3E   2.54920   2.48611   2.60888 113.80000   2.10000
 CH1E CH2E  OH1   2.43100   2.37112   2.48793 111.10000   2.00000
 CH1E CH2E    S   2.82202   2.74725   2.89233 114.40000   2.30000
 CH1E CH2E SH1E   2.80985   2.73522   2.88004 114.40000   2.30000
 CH2E CH2E CH2E   2.50984   2.43850   2.57717 111.30000   2.30000
 CH2E CH2P CH2P   2.39349   2.28862   2.49096 106.10000   3.20000
 CH2P CH2P    N   2.33235   2.28280   2.38031 103.20000   1.50000
 CH2P CH2P  NH3   2.33235   2.28280   2.38031 103.20000   1.50000
 CH2E CH2E  NH1   2.47076   2.40461   2.53329 112.00000   2.20000
 CH2E CH2E  NH3   2.49317   2.39477   2.58383 111.90000   3.20000
 CH2E CH2E   SE   2.88088   2.77821   2.97593 112.70000   3.00000
 CH2E CH2E   SM   2.77063   2.67087   2.86296 112.70000   3.00000
  CY2 CR1E CR1E   2.38540   2.34016   2.42831 119.60000   1.80000
   CW CR1E CR1E   2.39040   2.35720   2.42239 118.60000   1.30000
   CW CR1W CR1W   2.36131   2.32786   2.39355 117.50000   1.30000
   CF CR1E CR1E   2.40383   2.36174   2.44382 120.70000   1.70000
   CY CR1E CR1E   2.41414   2.37726   2.44937 121.20000   1.50000
   C5 CR1E  NH1   2.18745   2.15836   2.21588 106.50000   1.00000
   C5 CR1H  NH1   2.19578   2.16702   2.22388 107.20000   1.00000
  C5W CR1E  NH1   2.24640   2.20990   2.28176 110.20000   1.30000
   C5 CR1E   NR   2.23601   2.17048   2.29797 109.50000   2.30000
 CR1E CR1E CR1W   2.42254   2.39041   2.45343 121.10000   1.30000
 CR1W CR1W CR1E   2.41512   2.38344   2.44557 121.50000   1.30000
